address,quantity
0x291108daa5C06F80Afd11d367737eBFC624a9167,3
0x41e2B01600a088ab81a946F6Ec9C7B31048fB1ad,5
0x517E44b2aFcee99268aA709ec0153e53BA1Ba330,3
0x68AD1Fa00cB9D499B73e85c6449766374463B6B2,3
0x7c5541907c9877a0D24f0B7D4DF77A9aE4373812,7
0xA15D66Ba229bD23D814CEc32a138F0a24DB304a9,5
0xE3a7851925853095CEe63225Fa79fF88FF195f8a,7
0xEDe1dC6D877D5988eC6c9c53028F933ee731AE6b,5
0xFa1fF100Ff5491583f8A0802Dc1F1301ec3B3043,169
0xe73B648F6DE254101052e126C0499c32ed736a37,5
